 Timestamp	SBPMU.SLPO_  	SBPMU.STPCLKO_  	SBPMU.CPUSTPO_  	SBPMU.NAP  	SBPMU.THRMTRIPI_  	SBPMU.THRM_ZI  	SBPMU.CPU2SB_PBEB  	vkActCVID_N[7:0]  	vkActRatio_N[7:0]  	Sample   
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       84
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       85
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       86
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       87
240.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       88
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       89
  7.500 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       90
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       91
  6.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       92
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       93
 13.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       94
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       95
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       96
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       97
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       98
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       99
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      100
187.500 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      101
 82.500 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      102
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      103
 15.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      104
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      105
 13.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      106
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      107
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      108
<86 250 us	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      109
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      110
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      111
 27.500 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      112
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      113
150.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      114
  7.500 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      115
 22.500 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      116
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      117
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      118
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      119
<01 250 us	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      120
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      121
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      122
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      123
  6.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      124
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      125
 22.500 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      126
120.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      127
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      128
 15.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      129
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      130
 13.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      131
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      132
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      133
268.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      134
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      135
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      136
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      137
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      138
  6.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      139
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      140
 22.500 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      141
120.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      142
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      143
 15.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      144
 15.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      145
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      146
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      147
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      148
<56 250 us	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      149
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      150
